,PD,AAEP,SwitchName,PolicyGroup,PGType,LinkLevel,LLDP,MCP,LACP,CDP,NODEID_FROM,NODEID_TO,Port,Description
0,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_32_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,32,Oracle_XT04_4_ETH1_2
1,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_33_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,33,Oracle_XT04_3_ETH1_2
2,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_34_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,34,Oracle_XT04_2_ETH1_2
3,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_35_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,35,Oracle_XT04_1_ETH1_2
4,D_MGMT_PDOM,D_MGMT_DC_AAEP,TLALFHC3207_TLALFHC3208,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,208,21,F1A_17
5,D_MGMT_PDOM,D_MGMT_DC_AAEP,TLALFHC3207_TLALFHC3208,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,208,23,F1B_18
6,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_23_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,23,Oracle_XT04_1_ETH1_3
7,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_24_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,24,Oracle_XT04_2_ETH1_3
8,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_25_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,25,Oracle_XT04_3_ETH1_3
9,D_DC_PDOM,D_DC_AAEP,TLALFHC3203_TLALFHC3204,TLALFHC3203_TLALFHC3204_ETH1_26_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,203,204,26,Oracle_XT04_4_ETH1_3
10,D_DC_PDOM,D_DC_AAEP,TLALFHC3207,TLALFHC3207_ETH1_34_APG,Access,1GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,207,34,NETAPP_HB
11,D_DC_PDOM,D_DC_AAEP,TLALFHC3208,TLALFHC3208_ETH1_34_APG,Access,1GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,208,208,34,NETAPP_HB
12,D_DC_PDOM,D_DC_AAEP,TLALFHC3207,TLALFHC3207_ETH1_35_APG,Access,1GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,207,35,NETAPP_HB
13,D_DC_PDOM,D_DC_AAEP,TLALFHC3208,TLALFHC3208_ETH1_35_APG,Access,1GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,208,208,35,NETAPP_HB
14,D_DC_PDOM,D_MGMT_DC_AAEP,TLALFHC3207_TLALFHC3208,TLALFHC3207_TLALFHC3208_ETH1_25_26_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,208,25,llf-stsn01-b-cc05-eoh
15,D_DC_PDOM,D_MGMT_DC_AAEP,TLALFHC3207_TLALFHC3208,TLALFHC3207_TLALFHC3208_ETH1_25_26_VPC,VPC,10GIGAUTO,LLDP_ENABLE,MCP_ENABLE,LACP_ACTIVE,CDP_ENABLE,207,208,26,llf-stsn01-b-cc05-eoh
